#,Palabra, Nula[%], Baja[%] , Media[%], Alta[%], PFA,Categor°a
1986,patÇtico,60,30,10,0,0.165,Tristeza
1987,paupÇrrimamente,50,40,0,10,0.232,Tristeza
1988,paupÇrrimo,60,20,10,10,0.232,Tristeza
1989,pena,0,10,70,20,0.695,Tristeza
1990,penalidad,40,30,20,10,0.331,Tristeza
1991,penar,0,20,70,10,0.628,Tristeza
1992,penitencia,0,60,30,10,0.496,Tristeza
1993,penitente,0,60,30,10,0.496,Tristeza
1994,penosamente,20,40,40,0,0.396,Tristeza
1995,penoso,20,50,30,0,0.363,Tristeza
1996,penumbra,30,40,20,10,0.364,Tristeza
1997,perder,10,10,60,20,0.629,Tristeza
1998,pÇrdida,0,0,40,60,0.864,Tristeza
1999,perseguir,40,50,10,0,0.231,Tristeza
2000,perverso,60,40,0,0,0.132,Tristeza
2001,pesadumbre,0,60,30,10,0.496,Tristeza
2002,pesar,10,20,60,10,0.562,Tristeza
2003,pesaroso,20,20,50,10,0.496,Tristeza
2004,pesimismo,30,10,60,0,0.429,Tristeza
2005,pisotear,20,60,20,0,0.33,Tristeza
2006,pobre,0,60,40,0,0.462,Tristeza
2007,pobremente,20,40,40,0,0.396,Tristeza
2008,pobrete,30,30,40,0,0.363,Tristeza
2009,pobreto,40,10,50,0,0.363,Tristeza
2010,pobreza,20,40,40,0,0.396,Tristeza
2011,podrir,30,50,20,0,0.297,Tristeza
2012,preocupar,20,20,60,0,0.462,Tristeza
2013,presionar,40,40,20,0,0.264,Tristeza
2014,privar,0,60,30,10,0.496,Tristeza
2015,quebranto,0,20,70,10,0.628,Tristeza
2016,reducir,70,30,0,0,0.099,Tristeza
2017,remordimiento,10,10,70,10,0.595,Tristeza
2018,ruina,20,40,30,10,0.43,Tristeza
2019,serio,60,40,0,0,0.132,Tristeza
2020,soledad,0,10,50,40,0.763,Tristeza
2021,solitario,0,0,50,50,0.83,Tristeza
2022,sollozar,10,0,30,60,0.798,Tristeza
2023,solo,0,10,60,30,0.729,Tristeza
2024,sombr°o,10,70,10,10,0.397,Tristeza
2025,sufrimiento,0,0,30,70,0.898,Tristeza
2026,sufrir,0,0,30,70,0.898,Tristeza
2027,sumisamente,0,80,10,10,0.43,Tristeza
2028,taciturnidad,20,50,10,20,0.431,Tristeza
2029,taciturno,10,60,10,20,0.464,Tristeza
2030,temor,60,20,20,0,0.198,Tristeza
2031,tenebrosamente,60,20,20,0,0.198,Tristeza
2032,tenebrosidad,70,20,10,0,0.132,Tristeza
2033,tenebroso,70,20,10,0,0.132,Tristeza
2034,tÇtrico,60,30,0,10,0.199,Tristeza
2035,tormento,10,40,30,20,0.53,Tristeza
2036,triste,0,0,10,90,0.966,Tristeza
2037,tristemente,0,0,10,90,0.966,Tristeza
2038,tristeza,0,0,10,90,0.966,Tristeza
2039,trizas,30,20,30,20,0.464,Tristeza
2040,vejaci¢n,30,50,20,0,0.297,Tristeza
2041,vejar,20,40,40,0,0.396,Tristeza
2042,vergonzoso,40,50,10,0,0.231,Tristeza
2043,zangarriana ,20,20,40,20,0.53,Tristeza
